Date,Year,Pass,Site,FishNo,Species,Length,Weight,ScaleAge
10/11/13,2013,2,L17,1,RB,346,NA,6
10/18/13,2013,0,L32,1,RB,348,441,3
10/12/13,2013,2,L27,3,RB,383,629,3
10/8/13,2013,1,L02,11,RB,373,549,4
10/16/13,2013,3,L02,2,RB,372,535,4
10/11/13,2013,2,L05,1,RB,380,NA,4
10/12/13,2013,2,L22,4,RB,381,573,3
10/12/13,2013,2,L10,2,RB,407,733,4
10/20/13,2013,4,L15,2,RB,363,535,3
10/24/13,2013,5,L19,1,RB,348,451,3
10/12/13,2013,2,L26,1,RB,412,671,6
10/23/13,2013,5,L17,1,RB,369,608,3
10/20/13,2013,4,L22,2,RB,381,560,4
10/8/13,2013,1,L03,3,RB,390,763,3
10/12/13,2013,2,L11,3,RB,360,555,4
10/7/13,2013,1,L08,6,RB,363,502,4
10/12/13,2013,2,L15,3,RB,393,665,5
10/11/13,2013,2,L16,5,RB,395,NA,5
10/12/13,2013,2,L07,2,RB,392,730,3
10/8/13,2013,1,L10,10,RB,329,395,2
10/12/13,2013,2,L22,5,RB,362,447,2
10/8/13,2013,1,L23,11,RB,395,658,5
10/8/13,2013,1,L27,19,RB,307,342,2
10/12/13,2013,2,L27,5,RB,307,323,2
10/11/13,2013,2,L28,1,RB,320,380,2
10/7/13,2013,1,L28,7,RB,323,380,2
10/16/13,2013,3,L27,2,RB,343,478,3
10/19/13,2013,4,L08,1,RB,376,551,4
10/16/13,2013,3,L02,1,RB,357,448,2
10/11/13,2013,2,L04,3,RB,364,564,3
10/19/13,2013,4,L13,1,RB,346,431,2
10/17/13,2013,0,L34,2,RB,325,416,2
10/18/13,2013,0,L49,2,RB,397,707,4
10/17/13,2013,0,L34,1,RB,319,342,2
10/17/13,2013,0,L31,1,RB,350,367,3
10/15/13,2013,3,L05,1,RB,310,312,2
10/15/13,2013,3,L08,2,RB,394,629,4
10/11/13,2013,2,L09,1,RB,310,NA,2
10/7/13,2013,1,L09,3,RB,290,265,2
10/24/13,2013,5,L15,3,RB,338,444,4
10/24/13,2013,5,L15,2,RB,340,432,2
10/23/13,2013,5,L20,1,RB,437,786,6
10/15/13,2013,3,L20,4,RB,439,771,6
10/19/13,2013,4,L24,1,RB,282,271,2
10/8/13,2013,1,L22,7,RB,334,446,2
10/8/13,2013,1,L26,8,RB,414,810,4
10/11/13,2013,2,L25,1,RB,415,NA,4
10/23/13,2013,5,L25,1,RB,384,451,4
10/7/13,2013,1,L28,5,RB,379,665,4
10/16/13,2013,3,L02,3,RB,357,469,3
10/8/13,2013,1,L03,4,RB,354,485,3
10/8/13,2013,1,L06,5,RB,365,491,4
10/12/13,2013,2,L10,3,RB,296,330,2
10/15/13,2013,3,L12,5,RB,392,490,4
10/24/13,2013,5,L11,5,RB,337,428,2
10/7/13,2013,1,L12,7,RB,363,539,2
10/20/13,2013,4,L11,1,RB,363,519,2
10/24/13,2013,5,L11,8,RB,313,360,2
10/12/13,2013,2,L15,1,RB,320,412,2
10/24/13,2013,5,L22,3,RB,295,311,2
10/8/13,2013,1,L22,6,RB,299,321,2
10/8/13,2013,1,L27,20,RB,329,433,2
10/12/13,2013,2,L27,4,RB,310,339,2
10/12/13,2013,2,L27,6,RB,306,332,4
10/24/13,2013,5,L06,1,RB,345,452,3
10/8/13,2013,1,L07,12,RB,311,357,2
10/24/13,2013,5,L11,1,RB,292,332,2
10/23/13,2013,5,L09,2,RB,316,351,2
10/8/13,2013,1,L11,9,RB,322,375,2
10/8/13,2013,1,L18,3,RB,369,531,2
10/16/13,2013,3,L22,3,RB,407,641,4
10/7/13,2013,1,L24,2,RB,353,445,3
10/18/13,2013,0,L49,1,RB,328,443,2
10/7/13,2013,1,L28,6,RB,382,610,4
10/16/13,2013,3,L23,4,RB,359,468,2
10/12/13,2013,2,L07,1,RB,420,825,4
10/16/13,2013,3,L07,4,RB,297,301,1
10/11/13,2013,2,L21,1,RB,439,NA,4
10/17/13,2013,0,L31,2,RB,293,270,2
10/18/13,2013,0,L36,1,RB,311,379,2
10/17/13,2013,0,L50,1,RB,393,779,3
10/18/13,2013,0,L36,2,RB,323,340,2
10/18/13,2013,0,L45,1,RB,302,336,2
10/17/13,2013,0,L51,1,RB,393,675,5
10/16/13,2013,3,L27,1,RB,340,424,3
10/20/13,2013,4,L22,4,RB,384,635,4
10/16/13,2013,3,L22,1,RB,308,352,2
10/11/13,2013,2,L01,6,RB,252,175,1
10/19/13,2013,4,L05,1,RB,330,441,3
10/11/13,2013,2,L08,1,RB,272,NA,2
10/15/13,2013,3,L12,2,RB,240,168,1
10/15/13,2013,3,L12,4,RB,243,159,1
10/11/13,2013,2,L12,1,RB,246,159,1
10/15/13,2013,3,L13,1,RB,240,141,1
10/24/13,2013,5,L15,1,RB,351,449,2
10/11/13,2013,2,L16,4,RB,223,NA,1
10/11/13,2013,2,L16,2,RB,240,NA,1
10/15/13,2013,3,L16,1,RB,243,162,1
10/11/13,2013,2,L16,3,RB,246,NA,1
10/19/13,2013,4,L20,2,RB,219,160,1
10/15/13,2013,3,L20,1,RB,221,137,1
10/12/13,2013,2,L22,3,RB,220,108,1
10/19/13,2013,4,L21,2,RB,222,141,1
10/24/13,2013,5,L27,3,RB,418,677,4
10/11/13,2013,2,L28,2,RB,230,NA,1
10/12/13,2013,2,L02,1,RB,222,146,1
10/20/13,2013,4,L06,1,RB,369,556,3
10/19/13,2013,4,L04,1,RB,267,215,1
10/15/13,2013,3,L08,1,RB,291,281,1
10/16/13,2013,3,L10,2,RB,337,447,2
10/24/13,2013,5,L07,1,RB,229,140,1
10/16/13,2013,3,L07,3,RB,232,135,1
10/16/13,2013,3,L07,2,RB,345,424,3
10/16/13,2013,3,L10,1,RB,325,385,4
10/19/13,2013,4,L09,1,RB,296,354,2
10/12/13,2013,2,L11,1,RB,236,157,1
10/20/13,2013,4,L11,5,RB,232,148,1
10/12/13,2013,2,L14,1,RB,254,196,1
10/15/13,2013,3,L16,3,RB,255,199,1
10/20/13,2013,4,L15,1,RB,253,173,1
10/12/13,2013,2,L15,2,RB,220,116,1
10/11/13,2013,2,L20,1,RB,251,NA,1
10/12/13,2013,2,L22,2,RB,375,635,3
10/12/13,2013,2,L19,2,RB,380,642,3
10/15/13,2013,3,L21,3,RB,282,292,2
10/19/13,2013,4,L17,1,RB,235,157,1
10/16/13,2013,3,L19,1,RB,241,148,1
10/12/13,2013,2,L19,1,RB,253,179,1
10/12/13,2013,2,L22,1,RB,257,185,1
10/11/13,2013,2,L21,2,RB,334,NA,2
10/16/13,2013,3,L22,2,RB,253,177,1
10/12/13,2013,2,L23,1,RB,234,143,1
10/12/13,2013,2,L27,2,RB,301,335,2
10/12/13,2013,2,L27,1,RB,330,413,3
10/19/13,2013,4,L25,1,RB,300,307,2
10/23/13,2013,5,L08,1,RB,239,178,1
10/19/13,2013,4,L09,2,RB,293,296,2
10/15/13,2013,3,L09,1,RB,295,284,2
10/15/13,2013,3,L09,3,RB,218,139,1
10/15/13,2013,3,L09,2,RB,230,151,1
10/23/13,2013,5,L09,1,RB,231,147,1
10/12/13,2013,2,L11,2,RB,330,359,2
10/20/13,2013,4,L11,2,RB,366,535,3
10/15/13,2013,3,L12,1,RB,235,139,1
10/23/13,2013,5,L12,1,RB,258,195,1
10/15/13,2013,3,L12,3,RB,229,137,1
10/24/13,2013,5,L11,3,RB,222,136,1
10/19/13,2013,4,L09,3,RB,253,183,1
