Date ,Time,Calispell Cr Temp C),Smalle Cr Temp C),Winchester Cr Temp (C)
1/1/09,1:11:23 AM,1.96,0.64,0.09
1/1/09,1:11:23 PM,1.32,0.29,0.07
1/1/09,10:11:23 AM,1.16,0.41,0.25
1/1/09,10:11:23 PM,1.96,0.99,0.19
1/1/09,11:11:23 AM,1.16,0.35,0.15
1/1/09,11:11:23 PM,1.96,1,0.18
1/1/09,12:11:23 AM,1.96,0.65,0.13
1/1/09,12:11:23 PM,1.16,0.3,0.06
1/1/09,2:11:23 AM,1.96,0.62,0.15
1/1/09,2:11:23 PM,1.48,0.37,0.11
1/1/09,3:11:23 AM,1.96,0.66,0.22
1/1/09,3:11:23 PM,1.64,0.47,0.11
1/1/09,4:11:23 AM,1.96,0.7,0.2
1/1/09,4:11:23 PM,1.8,0.56,0.14
1/1/09,5:11:23 AM,1.96,0.71,0.24
1/1/09,5:11:23 PM,1.8,0.67,0.2
1/1/09,6:11:23 AM,1.64,0.73,0.21
1/1/09,6:11:23 PM,1.8,0.76,0.18
1/1/09,7:11:23 AM,1.48,0.71,0.29
1/1/09,7:11:23 PM,1.8,0.86,0.21
1/1/09,8:11:23 AM,1.48,0.55,0.34
1/1/09,8:11:23 PM,1.8,0.9,0.24
1/1/09,9:11:23 AM,1.32,0.48,0.32
1/1/09,9:11:23 PM,1.96,0.96,0.14
1/1/10,1:01:00 AM,NA,NA,NA
1/1/10,1:01:00 PM,NA,NA,NA
1/1/10,10:01:00 AM,NA,NA,NA
1/1/10,10:01:00 PM,NA,NA,NA
1/1/10,11:01:00 AM,NA,NA,NA
1/1/10,11:01:00 PM,NA,NA,NA
1/1/10,12:01:00 AM,NA,NA,NA
1/1/10,12:01:00 PM,NA,NA,NA
1/1/10,2:01:00 AM,NA,NA,NA
1/1/10,2:01:00 PM,NA,NA,NA
1/1/10,3:01:00 AM,NA,NA,NA
1/1/10,3:01:00 PM,NA,NA,NA
1/1/10,4:01:00 AM,NA,NA,NA
1/1/10,4:01:00 PM,NA,NA,NA
1/1/10,5:01:00 AM,NA,NA,NA
1/1/10,5:01:00 PM,NA,NA,NA
1/1/10,6:01:00 AM,NA,NA,NA
1/1/10,6:01:00 PM,NA,NA,NA
1/1/10,7:01:00 AM,NA,NA,NA
1/1/10,7:01:00 PM,NA,NA,NA
1/1/10,8:01:00 AM,NA,NA,NA
1/1/10,8:01:00 PM,NA,NA,NA
1/1/10,9:01:00 AM,NA,NA,NA
1/1/10,9:01:00 PM,NA,NA,NA
1/1/11,1:01:00 AM,NA,-0.03,-0.12
1/1/11,1:01:00 PM,NA,-0.03,-0.12
1/1/11,10:01:00 AM,NA,-0.03,-0.12
1/1/11,10:01:00 PM,NA,-0.03,-0.12
1/1/11,11:01:00 AM,NA,-0.03,-0.12
1/1/11,11:01:00 PM,NA,-0.03,-0.12
1/1/11,12:01:00 AM,NA,-0.03,-0.12
1/1/11,12:01:00 PM,NA,-0.03,-0.12
1/1/11,2:01:00 AM,NA,-0.03,-0.12
1/1/11,2:01:00 PM,NA,-0.03,-0.12
1/1/11,3:01:00 AM,NA,-0.03,-0.12
1/1/11,3:01:00 PM,NA,-0.03,-0.12
1/1/11,4:01:00 AM,NA,-0.03,-0.12
1/1/11,4:01:00 PM,NA,-0.03,-0.12
1/1/11,5:01:00 AM,NA,-0.03,-0.12
1/1/11,5:01:00 PM,NA,-0.03,-0.12
1/1/11,6:01:00 AM,NA,-0.03,-0.12
1/1/11,6:01:00 PM,NA,-0.03,-0.12
1/1/11,7:01:00 AM,NA,-0.03,-0.12
1/1/11,7:01:00 PM,NA,-0.03,-0.12
1/1/11,8:01:00 AM,NA,-0.03,-0.12
1/1/11,8:01:00 PM,NA,-0.03,-0.12
1/1/11,9:01:00 AM,NA,-0.03,-0.12
1/1/11,9:01:00 PM,NA,-0.03,-0.12
1/1/12,1:26:15 AM,1.09,0.37,-0.05
1/1/12,1:26:15 PM,1.41,1.33,0.58
1/1/12,1:56:15 AM,1.09,0.37,-0.05
