date,cases
1/22/20,100
1/23/20,125
1/24/20,130
1/25/20,140
1/26/20,152
1/27/20,412
1/28/20,289
1/29/20,167
1/30/20,300
1/31/20,433
2/1/20,438
2/2/20,316
2/3/20,449
2/4/20,327
2/5/20,332
2/6/20,338
2/7/20,470
2/8/20,475
2/9/20,482
2/10/20,487
2/11/20,746
2/12/20,752
2/13/20,757
2/14/20,635
2/15/20,895
2/16/20,900
2/17/20,905
2/18/20,1039
2/19/20,1171
2/20/20,1304
2/21/20,1437
2/22/20,1698
2/23/20,2340
2/24/20,2728
2/25/20,2988
2/26/20,3632
2/27/20,4402
2/28/20,5810
2/29/20,6836
3/1/20,8753
3/2/20,10544
3/3/20,12844
3/4/20,15018
3/5/20,17956
3/6/20,21532
3/7/20,25491
3/8/20,29449
3/9/20,33535
3/10/20,38386
