date,cases
1/22/20,0
1/23/20,1482
1/24/20,2223
1/25/20,2594
1/26/20,3335
1/27/20,5928
1/28/20,6299
1/29/20,8522
1/30/20,11115
1/31/20,12968
2/1/20,15562
2/2/20,18896
2/3/20,22231
2/4/20,25936
2/5/20,30382
2/6/20,33346
2/7/20,36681
2/8/20,39645
2/9/20,43350
2/10/20,45944
2/11/20,47056
2/12/20,62988
2/13/20,68545
2/14/20,70769
2/15/20,73362
2/16/20,75215
2/17/20,76697
2/18/20,77994
2/19/20,79290
2/20/20,80402
2/21/20,81514
2/22/20,82625
2/23/20,83366
2/24/20,84107
2/25/20,84107
2/26/20,86330
2/27/20,87442
2/28/20,89665
2/29/20,91518
3/1/20,93000
3/2/20,95223
3/3/20,98557
3/4/20,100410
3/5/20,103374
3/6/20,107450
3/7/20,111896
3/8/20,115601
3/9/20,120047
3/10/20,124864
